Навык,Количество,Процент
Python,37,37.0
SQL,21,21.0
PostgreSQL,20,20.0
FastAPI,15,15.0
Docker,15,15.0
Git,15,15.0
Linux,13,13.0
Django Framework,11,11.0
Redis,7,7.0
CI/CD,6,6.0
JavaScript,6,6.0
Bash,5,5.0
Функциональное тестирование,5,5.0
JSON,5,5.0
API,5,5.0
REST API,4,4.0
HTML,4,4.0
Postman,4,4.0
Постановка задач разработчикам,4,4.0
Pytest,4,4.0
Atlassian Jira,4,4.0
XML,4,4.0
Тестирование,4,4.0
Java,4,4.0
Бизнес-анализ,4,4.0
Разработка технических заданий,4,4.0
MySQL,4,4.0
Scrum,3,3.0
PHP,3,3.0
HTML5,3,3.0
Регрессионное тестирование,3,3.0
Swagger,3,3.0
Gitlab,3,3.0
REST,3,3.0
TypeScript,3,3.0
SQLAlchemy,3,3.0
Работа с базами данных,3,3.0
SOAP,3,3.0
Сбор и анализ информации,3,3.0
BPMN,3,3.0
UML,3,3.0
HTTP,3,3.0
Celery,3,3.0
Flask,3,3.0
Golang,3,3.0
RabbitMQ,3,3.0
QA,2,2.0
Автоматизированное тестирование,2,2.0
Анализ данных,2,2.0
GitLab CI,2,2.0
Selenium,2,2.0
SDLC,2,2.0
STLC,2,2.0
Тестирование пользовательского интерфейса,2,2.0
CSS3,2,2.0
React,2,2.0
Оптимизация кода,2,2.0
GitHub,2,2.0
Системный анализ,2,2.0
Моделирование бизнес процессов,2,2.0
Apache Kafka,2,2.0
Английский язык,2,2.0
Ansible,2,2.0
Управление командой,2,2.0
Nginx,2,2.0
Разработка нового продукта,2,2.0
pandas,2,2.0
Исследовательский анализ данных,1,1.0
Визуализация данных,1,1.0
Работа с большим объемом информации,1,1.0
Power BI,1,1.0
Микросервисная архитектура,1,1.0
Ajax,1,1.0
Bootstrap,1,1.0
Веб-программирование,1,1.0
Адаптивная верстка,1,1.0
1С-Битрикс,1,1.0
Bitrix,1,1.0
nutxJX,1,1.0
Интеграционное тестирование,1,1.0
Кроссбраузерное тестирование,1,1.0
Agile,1,1.0
Сбор обратной связи,1,1.0
Анализ требований,1,1.0
Тест-дизайн,1,1.0
Тестирование API,1,1.0
Ручное тестирование,1,1.0
Выявление рисков,1,1.0
TestRail,1,1.0
Redmine,1,1.0
Модульное тестирование,1,1.0
Нагрузочное тестирование,1,1.0
Тестовая документация,1,1.0
Bug Reporting,1,1.0
Bug Tracking Systems,1,1.0
Протоколы,1,1.0
Автоматизация,1,1.0
Django Rest Framework,1,1.0
jQuery,1,1.0
Fullstack,1,1.0
Node.js,1,1.0
Анализ рисков,1,1.0
UI,1,1.0
DevTools,1,1.0
Zephyr Scale,1,1.0
Playwright,1,1.0
k8s,1,1.0
Кроссплатформенное тестирование,1,1.0
Async,1,1.0
Taskiq,1,1.0
Aiogram,1,1.0
C++,1,1.0
Builder XE,1,1.0
Embarcadero RAD Studio,1,1.0
VCL,1,1.0
PL PgSQL,1,1.0
DevExpress,1,1.0
PgDAC,1,1.0
FastReport,1,1.0
Kotlin,1,1.0
Spring Boot,1,1.0
Kubernetes,1,1.0
Test case,1,1.0
NAT,1,1.0
Unix,1,1.0
Настройка DNS,1,1.0
Proxmox,1,1.0
almalinux,1,1.0
CentOS,1,1.0
Ubuntu,1,1.0
netbox,1,1.0
Ceph,1,1.0
ssl,1,1.0
PKI,1,1.0
freeipa,1,1.0
keycloack,1,1.0
teleport,1,1.0
Terraform,1,1.0
IaC,1,1.0
Grafana,1,1.0
Prometheus,1,1.0
Управление процессами,1,1.0
Управление интернет-проектами,1,1.0
Webpack,1,1.0
RTK,1,1.0
Redux,1,1.0
StyledComponents,1,1.0
Material,1,1.0
ANT,1,1.0
Go,1,1.0
Backend,1,1.0
PHP5,1,1.0
Atlassian Confluence,1,1.0
automotive,1,1.0
Мобильные устройства,1,1.0
Анализ бизнес показателей,1,1.0
Анализ бизнес-процессов,1,1.0
Ведение рабочей документации,1,1.0
Requests,1,1.0
beautifulsoup,1,1.0
Интервьюирование,1,1.0
QGIS,1,1.0
Стратегическое мышление,1,1.0
Управление бизнес процессами,1,1.0
Разработка стратегии продвижения продуктов,1,1.0
Разработка маркетинговой стратегии,1,1.0
Стратегический менеджмент,1,1.0
Стратегический анализ,1,1.0
Product Management,1,1.0
Разработка ПО,1,1.0
Big Data,1,1.0
Data Science,1,1.0
Machine Learning,1,1.0
ML,1,1.0
Машинное обучение,1,1.0
Высокие коммуникативные навыки,1,1.0
Scikit-learn,1,1.0
Алгоритмы,1,1.0
Лидерство,1,1.0
Коммуникабельность,1,1.0
Управленческие навыки,1,1.0
Мотивация персонала,1,1.0
Организаторские навыки,1,1.0
Apache Airflow,1,1.0
Figma,1,1.0
NoSQL,1,1.0
Vue JS,1,1.0
Тестирование ПО,1,1.0
ORM,1,1.0
ChatGPT,1,1.0
искусственный интеллект,1,1.0
ИИ,1,1.0
AI,1,1.0
OpenAI,1,1.0
n8n,1,1.0
Make,1,1.0
Claude,1,1.0
Anthropic,1,1.0
Perplexety,1,1.0
Mistral,1,1.0
Albato,1,1.0
Bolt,1,1.0
Camunda,1,1.0
Информационная безопасность,1,1.0
Информационные технологии,1,1.0
Техническая поддержка,1,1.0
PowerShell,1,1.0
Системная интеграция,1,1.0
Внедрение систем информационной безопасности,1,1.0
LDAP,1,1.0
smb,1,1.0
Windows,1,1.0
JSON API,1,1.0
Базы данных,1,1.0
Веб-аналитика,1,1.0
