id,name,company,salary_from,salary_to,currency,experience,schedule,description,key_skills,url
127610238,QA-инженер/Embedded-тестировщик,Телум,160000.0,,RUR,От 1 года до 3 лет,Полный день,"<p><strong><em>Внимание! Работа в офисе, г. Москва, полностью удаленный или гибридный формат не рассматриваем.</em></strong></p> <p><strong>Обязанности:</strong></p> <ul> <li>Проведение функциональных и регрессионных тестов;</li> <li>Проведение ручных и автоматизированных тестов ПО разрабатываемых устройств, обработка и анализ результатов;</li> <li>Оформление обнаруженных ошибок в трекинговой системе, контроль за устранением ошибок разработчиками;</li> <li>Разработка документации тестирования: тест-кейсы, чек-листы, схемы стендов, инструкции по настройке окружения;</li> <li>Участие в демонстрациях возможностей продукта Заказчикам.</li> </ul> <strong>Требования:</strong> <ul> <li>Высшее, либо незаконченное высшее, техническое образование (желательно в области радиотехники);</li> <li>Понимание теории тестирования и того, как она применяется на практике;</li> <li>Умение анализировать результаты проведенных тестов и делать выводы на основании проведенного анализа;</li> <li>Умение кратко и однозначно описывать выявленные ошибки и инструкции по их воспроизведению;</li> <li>Опыт работы в консоли (терминале) Linux;</li> <li>Желание быстро разбираться в новых предметных областях;</li> <li>Грамотный русский язык;</li> <li>Технический английский на уровне чтения документации.</li> </ul> <p><strong>Будет преимуществом:</strong></p> <ul> <li>Опыт работы с системами контроля версий: Git;</li> <li>Работа с Python;</li> <li>Написания Bash-скриптов;</li> <li>Настройка сети в Linux;</li> <li>Опыт работы с ВЧ-генераторами, анализаторами спектра при проведении измерений характеристик радиосредств.</li> </ul> <p><strong>Что мы предлагаем:</strong></p> <ul> <li>Прежде всего - сплоченная многолетняя команда профессионалов в области радиосвязи и сетевых технологий, подтвердивших свои компетенции в реальных проектах;</li> <li>Участие в реально перспективных и востребованных для страны проектах и продуктах. Мы являемся один из основных &quot;игроков&quot; в своем направлении бизнеса на рынке специальной связи с успешными выполненными проектами и многолетним опытом;</li> <li>Применение современных технологий в области телекоммуникации и беспроводной связи, позволяющими быть всегда в курсе развития перспективных технологий и иметь опыт их применения;</li> <li>Уверенность в будущем. У нас стабильный и прозрачный «белый» доход;</li> <li>Возможность оформления отсрочки от &quot;призыва&quot;;</li> <li>Современный просторный офис в Бизнес-центре с оборудованными зонами отдыха.</li> </ul>","['Linux', 'Bash', 'QA', 'Автоматизированное тестирование', 'Функциональное тестирование']",https://hh.ru/vacancy/127610238
127314362,Младший разработчик,Верме,120000.0,140000.0,RUR,Нет опыта,Удаленная работа,"<p><strong>Чем нужно будет заниматься:</strong></p> <ul> <li>Проектирование программного кода согласно написанному ТЗ;</li> <li>Коддинг;</li> <li>Отладка написанного кода;</li> <li>Написание технической документации (readme);</li> <li>Созвоны с командой для консультации;</li> <li>Code-review;</li> <li>Оценка временных затрат/консультации.</li> </ul> <p><strong>У тебя точно всё получится, если есть:</strong></p> <ul> <li>Профессиональные знания: cтек Python 3.9, Django, PostgreSQL, REST API. Плюсом будет знание JS vanilla, Celery;</li> <li>Знание и умение писать на языке программирования Python;</li> <li>Умение проводить технический анализ кода, выявлять узкие места и формулировать предложения по их устранению;</li> <li>Умение оценивать риски, предлагать альтернативные решения и экспериментировать.</li> </ul> <p> </p>",[],https://hh.ru/vacancy/127314362
127474353,Junior Data Analyst/Аналитик данных,Your CodeReview,90000.0,,RUR,Нет опыта,Удаленная работа,"<p>Привет! Мы команда разработчиков платформы Young&amp;Junior, которая собирает вакансии со всех интернет-ресурсов. Сейчас нашим сайтом пользуется <strong>30 000 человек ежемесячно</strong>, и мы активно растем, поэтому набираем сотрудников в отдел аналитики. На данный момент мы разработали агрегатор вакансий, который парcит вакансии по 6 направлениям. <strong>В ближайшие время планируем внедрять новые фичи: </strong></p> <p>-Добавить на сайт конструктор резюме</p> <p>-Интегрировать сайт с нашим тренажером собеседований</p> <p>-Расширить блок с IT мероприятиями и ИИ-инструментами для джунов</p> <p>Поэтому нам нужны активные, инициативные аналитики.</p> <p><strong>Чем предстоит заниматься?</strong></p> <ul> <li> <p>Собирать и обрабатывать данные из различных источников для последующего анализа</p> </li> <li> <p>Создавать визуализации и дашборды для мониторинтра ключевых метрик продукта</p> </li> <li> <p>Участвовать в анализе пользовательского поведения и ключевых сценариев (например, воронка от поиска вакансии до отклика)</p> </li> <li> <p>Тесно взаимодействовать с командами продукта и разработки, помогая формировать требования к данным и проверяя их качество</p> </li> <li> <p>Активно участвовать в планировании и обсуждении задач, предлагая идеи по улучшению методов анализа и метрик</p> </li> </ul> <p><strong>Что мы предлагаем?</strong></p> <ul> <li>Влияние на продукт: твои решения сразу повлияют на тысячи пользователей.</li> <li>Полностью удалённая работа с гибким графиком.</li> <li>Обучение и рост.</li> </ul> <p><strong>Обязательные требования:</strong></p> <ul> <li> <p>Базовые знания SQL для работы с данными</p> </li> <li> <p>Навыки работы с Excel/Google Таблицами (сводные таблицы, основные функции)</p> </li> <li> <p>Понимание основ статистики и анализа данных</p> </li> <li> <p>Внимательность к деталям и умение работать с большими объемами информации</p> </li> <li> <p>Способность работать в команде, воспринимать обратную связь и постоянно учиться</p> </li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li> <p>Опыт работы с системами визуализации данных (Tableau, Power BI, DataLens и др.)</p> </li> <li> <p>Базовые знания Python (pandas, numpy) для анализа данных</p> </li> <li> <p>Знакомство с процессами гибкой разработки (Scrum/Kanban)</p> </li> <li> <p>Понимание принципов веб-аналитики и метрик продукта</p> </li> <li> <p>Наличие учебных проектов или кейсов по анализу данных</p> </li> </ul> <p>До встречи на собесе!</p> <p> </p>","['Анализ данных', 'Python', 'Исследовательский анализ данных', 'Визуализация данных', 'Работа с большим объемом информации', 'Scrum', 'Power BI']",https://hh.ru/vacancy/127474353
127358012,Middle Backend-разработчик,Хегай Алексей Александрович,200000.0,250000.0,RUR,От 1 года до 3 лет,Удаленная работа,"<p>Финтех-компания ищет backend-разработчика уровня Middle для участия в развитии платформы онлайн-платежей. Мы разрабатываем API и микросервисную архитектуру, обеспечивающую миллионы транзакций в день.</p> <p><strong>Обязанности</strong></p> <ul> <li>Разработка и поддержка микросервисов на Python (FastAPI, Django);</li> <li>Интеграция с внешними API банков и платёжных систем;</li> <li>Оптимизация производительности и безопасности сервисов;</li> <li>Работа с БД PostgreSQL, Redis;</li> <li>Участие в код-ревью, планировании спринтов, CI/CD.</li> </ul> <p><strong>Требования</strong></p> <ul> <li>Опыт разработки на Python от 2 лет;</li> <li>Знание Django / FastAPI;</li> <li>Опыт работы с PostgreSQL, Redis;</li> <li>Понимание принципов REST, микросервисной архитектуры;</li> <li>Опыт работы с Git и системами CI/CD (GitLab, Jenkins);</li> <li>Умение писать чистый, поддерживаемый код.</li> </ul> <p><strong>Будет плюсом</strong></p> <ul> <li>Опыт работы с Docker, Kubernetes;</li> <li>Знание основ DevOps и мониторинга (Grafana, Prometheus);</li> <li>Опыт работы в финтехе или e-commerce;</li> <li>Английский язык для чтения документации.</li> </ul> <p><strong>Мы предлагаем</strong></p> <ul> <li>Удалённый формат работы;</li> <li>Белая заработная плата 200–250 тыс. руб.;</li> <li>Команду сильных инженеров и менторство;</li> <li>Современный технологический стек и быстрые релизы;</li> <li>Курсы, конференции за счёт компании.</li> </ul>","['Python', 'Django Framework', 'FastAPI', 'PostgreSQL', 'Redis', 'REST API', 'Docker', 'CI/CD', 'Микросервисная архитектура']",https://hh.ru/vacancy/127358012
127708618,Web-разработчик,ФТК Менеджмент,,,,От 1 года до 3 лет,Полный день,"<p>Сейчас мы находимся в поиске грамотного <strong>Web - разработчика</strong> на проект где используется <strong>Bitrix</strong>.</p> <p><strong>Наши ожидания:</strong></p> <ul> <li> <p>Уверенные знания HTML5 и CSS3;</p> </li> <li> <p>Опыт интеграции вёрстки в CMS Bitrix;</p> </li> <li> <p>Опыт адаптивной и кросс браузерной вёрстки;</p> </li> <li> <p>Знание JavaScript;</p> </li> <li> <p>Знание NuxtJS;</p> </li> <li> <p>Знание Python;</p> </li> <li> <p>Знание FastApi;</p> </li> <li> <p>Знание Docker;</p> </li> <li> <p>Знание PHP 8.</p> </li> <li> <p>Продвинутый пользователь Linux.</p> </li> <li> <p>Опыт работы с git;</p> </li> <li> <p>Желание развиваться и изучать новые технологии.</p> </li> </ul> <p><strong>Будет плюсом</strong>:</p> <ul> <li>Знание React / Vue.js;</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Офис в центре Москвы: м. Арбатская/Боровицкая/Библиотека им. В.И. Ленина;</li> <li>Оформление по ТК РФ;</li> <li>Конкурентную и стабильную заработную плату, соответствующую вашему опыту и квалификации;</li> <li>Работа в вовлеченном коллективе, комфортные условия труда;</li> <li>Полная занятость, пятидневный график работы;</li> <li>Возможность выбрать начало рабочего дня;</li> <li>Профессиональный рост и развитие.</li> </ul>","['HTML', 'PHP', 'Ajax', 'Bootstrap', 'HTML5', 'Git', 'Веб-программирование', 'Адаптивная верстка', '1С-Битрикс', 'Bitrix', 'nutxJX']",https://hh.ru/vacancy/127708618
127718739,Middle QA-инженер / Тестировщик,BrandLink,110000.0,,RUR,От 1 года до 3 лет,Удаленная работа,"<p><strong>BrandLink</strong> — международная компания, white-label агрегатор систем кэшбэков и программ лояльности в сфере FMCG. Мы — платформа с собственной продуктовой разработкой и базой крупных клиентов и брендов в РФ и за рубежом.</p> <p><strong>Ищем middle QA-инженера</strong> для усиления команды разработки. Основной фокус — <strong>ручное тестирование</strong> и обеспечение качества с постепенным переходом к автоматизации.</p> <p>Мы ожидаем от идеального кандидата хорошее понимание обычных процессов организации обеспечения качества ПО.</p> <p><strong>Формат работы:</strong> полностью удалённый, офис в Москве. Гибкое начало рабочего дня, по договорённости. Оформление по ТК РФ.</p> <h2>Чем предстоит заниматься:</h2> <ul> <li><strong>Анализ требований:</strong> изучение ТЗ и пользовательских историй совместно с командой, включая, в перспективе, базовое тестирование требований</li> <li><strong>Тест-дизайн:</strong> разработка и поддержка тест-кейсов, чек-листов</li> <li><strong>Ручное тестирование:</strong> функциональное, регрессионное, интеграционное, smoke-тесты веб-приложений</li> <li><strong>Автоматизация:</strong> разработка и поддержка UI/API автотестов</li> <li><strong>Работа с багами:</strong> локализация, документирование, трекинг в YouTrack</li> <li><strong>API-тестирование:</strong> ручное и автоматизированное (Postman, Swagger)</li> <li><strong>Командная работа:</strong> плотное взаимодействие с разработчиками</li> </ul> <h2>Наши ожидания:</h2> <p><strong>Обязательно:</strong></p> <ul> <li>Опыт тестирования ПО от 2-х лет</li> <li>Глубокое понимание методологий, видов тестирования и техник тест-дизайна</li> <li>Умение писать чёткие тест-кейсы и баг-репорты</li> <li>Уверенное тестирование API (Postman, Swagger, REST, JSON/XML)</li> <li>SQL (SELECT, JOIN)</li> <li>Знание клиент-серверной архитектуры (HTTP/HTTPS)</li> <li>Опыт работы с Git и DevTools</li> <li><strong>Soft skills:</strong> проактивность, внимание к деталям, самостоятельность</li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li>Опыт с Charles/Fiddler</li> <li>Тестирование мобильных приложений</li> <li>Знание CI/CD (GitLab CI/CD)</li> <li>Автотесты 1+ год (Python/JavaScript)</li> <li>Фреймворки: Selenium, Playwright, Cypress</li> </ul> <h2>Что предлагаем:</h2> <ul> <li><strong>Зарплата:</strong> конкурентная (обсуждается индивидуально)</li> <li><strong>Оформление:</strong> официальное по ТК РФ</li> <li><strong>График:</strong> 5/2, 8 часов, гибкое начало</li> <li><strong>Формат:</strong> 100% удалёнка</li> <li><strong>Развитие:</strong> профессиональный рост, менторинг</li> <li><strong>Команда:</strong> сильные специалисты, готовые делиться опытом</li> </ul>","['Регрессионное тестирование', 'Интеграционное тестирование', 'Postman', 'SQL', 'Кроссбраузерное тестирование', 'Git', 'Постановка задач разработчикам', 'Agile', 'Сбор обратной связи', 'Автоматизированное тестирование', 'Анализ требований', 'Тест-дизайн', 'Тестирование API', 'Swagger', 'Ручное тестирование', 'GitLab CI', 'Selenium', 'Выявление рисков']",https://hh.ru/vacancy/127718739
127444442,Junior Python разработчик,Хайталент,70000.0,100000.0,RUR,Нет опыта,Удаленная работа,"<p>Если ты — <strong>Junior Python разработчик</strong>, стремящийся быстро развиваться, работая над реальными проектами? Мы предлагаем такую возможность через аутстаффинг для наших клиентов!</p> <p>Мы — компания, занимающаяся аутстаффингом IT-специалистов. Наша цель — помочь талантливым разработчикам найти интересные проекты и предоставлять возможности для быстрого профессионального роста. В настоящее время мы ищем Junior Python-разработчика, которого готовы обучать и развивать внутри компании.</p> <p><em><strong>Чем предстоит заниматься:</strong></em></p> <ul> <li>Участвовать в разработке веб-приложений и сервисов на Python;</li> <li>Работать с REST API: проектировать, реализовывать и тестировать их;</li> <li>Взаимодействовать с базами данных, писать SQL-запросы;</li> <li>Подключать сторонние сервисы и интеграции;</li> <li>Писать чистый, поддерживаемый код и покрывать его тестами;</li> </ul> <p><em><strong>Обязательные требования:</strong></em></p> <ul> <li>Был уверенным пользователем <strong>Python 3</strong>;</li> <li>Имел опыт работы с веб-фреймворками: <strong>FastAPI</strong> или <strong>Django/Flask</strong>;</li> <li>Опыт работы с системами контроля версий <strong>Git</strong>.</li> </ul> <p><em><strong>Желательные требования:</strong></em></p> <ul> <li>Знание ORM (например, SQLAlchemy или Django ORM).</li> <li>Опыт работы с RESTful API.</li> <li>Знание что такое контейнеризация, умение обернуть свое приложение в Docker.</li> <li>Навыки работы с базами данных (PostgreSQL, MySQL, MongoDB, Redis).</li> <li>Опыт написания unit-тестов и автоматизированного тестирования.</li> </ul> <p><em><strong>Наши условия:</strong></em></p> <ul> <li>Удалённая работа.</li> <li>График 5/2 с 10:00 до 18:00.</li> <li>Удобная и понятная система постановки и контроля задач по Agile/SCRUM</li> <li>Участие в интересных проектах с возможностью карьерного роста.</li> <li>Индивидуальное обсуждение заработной платы.</li> </ul> <p><em><strong>Этапы отбора:</strong></em></p> <ul> <li>тестовое задание</li> <li>техническое собеседование</li> <li>финальное собеседование</li> </ul>","['Python', 'SQL', 'Git', 'Docker', 'FastAPI', 'Django Framework', 'Pytest', 'Linux']",https://hh.ru/vacancy/127444442
127608976,Python-разработчик,TWIGA Communication Group,,,,От 1 года до 3 лет,Полный день,"<p><strong>Digital TWIGA </strong>- digital-агентство полного цикла, которое входит в Группу TWIGA - крупнейшая независимая коммуникационная группа в России. Команда 180+человек, темпы роста 2х за последний год, высокая степень интеграции с другими агентствами группы компаний TWIGA (креатив, PR, медиа, BTL).</p> <p>Ключевые направления работы компании - комплексные стратегии и проекты в digital, охватные digital медиа, performance маркетинг и аналитика, контент- и web-production</p> <p>Сейчас мы в поисках <strong>middle Python-разработчика </strong>в подразделение <strong>Data Quality</strong></p> <p><strong>Обязанности:</strong></p> <p>Написание парсеров: </p> <ul> <li>Разработка и поддержка веб-парсеров (Selenium, requests, BeautifulSoup, playwright и др.)</li> <li>Генерация и тестирование новых гипотез парсинга</li> <li>Написание стабильного кода для сбора данных.</li> </ul> <p>AI</p> <ul> <li>Создавать MVP-проекты на основе AI для тестирования гипотез для последующей интеграции в бизнес компании.</li> <li>Формулировать и тестировать гипотезы применения AI в бизнес-процессах (Требуется активное взаимодействие с постановщиками задач)</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Уверенное владение Python 3. Умение писать асинхронный код</li> <li>Опыт разработки и поддержки backend-сервисов на web-фреймворках (в основном используем fast API)</li> <li>Знание и опыт работы с SQLAlchemy, умение проектировать и оптимизировать ORM-модели</li> <li>Опыт работы с SQL (В основном используем MSSQL). Важно уметь писать и оптимизировать сложные запросы</li> <li>Умение писать и поддерживать Telegram-ботов (aiogram и др.)</li> <li>Навыки интеграции с внешними системами через REST API (создание, документирование, отладка проблем и поддержка интеграций)</li> <li>Умение работать с GitLab (репозитории, CI/CD, merge requests, code review)</li> <li>Умение писать чистый и понятный код, следовать PEP8</li> <li>Навыки отладки, тестирования и документирования</li> <li>Аналитическое мышление, инициативность и способность быстро разбираться в чужом коде</li> <li>Понимание возможностей и ограничений современных AI-инструментов (OpenAI API, LLM)</li> <li>Обязателен опыт работы с linux и docker</li> </ul> <strong>Условия:</strong> <p> </p> <ul> <li>Работа в крупной, динамично развивающейся коммуникационной группе, 32 года на рынке</li> <li>Очень комфортная атмосфера в коллективе</li> <li>Работа в офисе по адресу: БЦ Новоспасский, Дербеневская наб., 7с22, м. Павелецкая, гибридный формат</li> <li>Полный рабочий день, гибкое начало рабочего дня (9-18, 10-19)</li> <li>Оформление по ТК РФ</li> <li>Дружный сплоченный коллектив всех компаний, входящих в группу, высокий уровень корпоративной культуры и институтов (в т.ч. события и мероприятия)</li> <li>Корпоративное обучение. Регулярные семинары и тренинги</li> <li>Заработная плата обсуждается с успешным кандидатом</li> </ul>",[],https://hh.ru/vacancy/127608976
127075950,Ручной тестировщик,Свистунова Екатерина Александровна,180000.0,230000.0,RUR,Более 6 лет,Полный день,"Привет!<br />В компанию SKIF приглашаем<strong> </strong><strong>тестировщика</strong> с опытом от 5 лет.<br /><br /><em>Компания разрабатывает продукты мониторинга транспорта и удаленным управлением входными группами.</em><br /><br /><strong>Условия для будущего сотрудника:</strong><br />!!! ВАЖНО!!!! -<strong> </strong><strong>работа в офисе</strong> или <strong>гибрид в Москве<br />(удаленной работы - нет )</strong><br />- зарплатная вилка: 180 000 - 230 000 руб net (по результатам собеседования) <p><strong>Опыт:</strong></p> <ul> <li>от 5-7 лет опыта работы в области тестирования ПО.</li> <li>Опыт руководства направлением тестирования или координации работы команды QA</li> </ul> <p><em>Знания и навыки:</em></p> <ul> <li> <p>Глубокое понимание <strong>жизненного цикла разработки ПО (SDLC) </strong>и <strong>тестирования (STLC)</strong>, умение выстраивать эффективные процессы контроля качества на всех этапах.</p> </li> <li> <p>Экспертное владение различными видами тестирования: <strong>функциональное, регрессионное, интеграционное, нагрузочное, безопасность, usability, smoke, sanity, exploratory и др.</strong></p> </li> <li> <p>Опыт работы с современными системами управления задачами и тестами: <strong>Jira, TestRail, GitLab, Redmine </strong>(опыт интеграции и настройки этих систем под процессы команды).</p> </li> <li> <p>Умение разрабатывать<strong> комплексную тестовую документацию</strong> — тест-планы, чек-листы, тест-кейсы, баг-репорты, отчёты — с акцентом на масштабируемость и повторное использование</p> </li> <li> <p>Глубокие знания и практическое применение<strong> тест-дизайна </strong>(включая техники эквивалентного разбиения, граничных значений, попарного тестирования, ортогональных массивов и т.д.).</p> </li> <li> <p>Понимание и анализ <strong>архитектуры распределенных клиент-серверных систем</strong>, взаимодействия микросервисов, брокеров сообщений и API-шлюзов.</p> </li> <li> <p>Опыт тестирования <strong>веб-приложений, backend-сервисов, REST и gRPC API, </strong>а также <strong>мобильных приложений (</strong>iOS, Android).</p> </li> <li> <p>Уверенная работа<strong> с инструментами разработчика (DevTools)</strong> и профилирования производительности.</p> </li> <li> <p>Навыки тестирования API с использованием Postman, Newman или аналогов.</p> </li> <li> <p>Отличное знание <strong>форматов данных (JSON, XML, Protobuf)</strong> и принципов сериализации.</p> </li> <li> <p>Опыт автоматизации тестирования (UI или API) — участие в разработке и поддержке автотестов на Cypress, Playwright, Selenium, JUnit/TestNG.</p> </li> <li> <p>Опыт <strong>построения CI/CD-пайплайнов </strong>для тестов и интеграции тестов в процесс деплоя.</p> </li> <li> <p>Навыки анализа логов, метрик и мониторинга (Kibana, Grafana, Sentry и т.д.).<br /><br /><em>Будет большим плюсом:</em></p> </li> <li>Знание <strong>JavaScript, TypeScript</strong> или <strong>Python </strong>на уровне написания и ревью автотестов.</li> <li>Опыт работы с<strong> контейнерами (Docker)</strong> и <strong>виртуальными окружениями (K8s, Jenkins agents).</strong></li> <li>Опыт внедрения <strong>QA-метрик</strong> и работы с качеством как метрикой продукта.</li> <li>Участие в <strong>менторстве младших тестировщиков</strong>, проведении ревью тестовой документации и автотестов.<br /><br />Этапы:<br />1) Первичное собеседование с HR<br />2) Техническое собеседование<br />3) При успешном прохождение - оффер</li> </ul>","['SDLC', 'STLC', 'Atlassian Jira', 'TestRail', 'Gitlab', 'Redmine', 'REST', 'JSON', 'XML', 'CI/CD', 'JavaScript', 'TypeScript', 'Python', 'Docker']",https://hh.ru/vacancy/127075950
127581842,Инженер по тестированию ПО,Сервисный центр Транстелематика,,,,От 1 года до 3 лет,Полный день,"<p><strong>КРАТКИЙ ЭКСКУРС ПО НАШЕЙ РАБОТЕ:</strong></p> <p>Мы занимаемся реализацией важных и крупных проектов в рамках программы <strong>Smart City</strong> (&quot;Умный город&quot;), направление - <strong>&quot;Умный городской пассажирский транспорт&quot;.</strong></p> <p><strong>Наш проект </strong>- система, которая повышает удобство и безопасность как водителя так и пассажиров. Она включает - интеллектуальные транспортные системы, мобильные приложения, автоматизированные системы оплаты и видеонаблюдение. Подсчет пассажиров оптимизирует маршруты, а распознавание усталости водителя помогает предотвращать аварии.</p> <p><strong>Наша IT команда</strong> - более 150 сотрудников, это JS, C++, Android, Golang-разработчики, тестировщики, автотестировщики (Python), DevOps-специалисты, сервисные инженеры, аналитики, технические писатели, менеджеры и руководители проектов.</p> <p><em><strong>Узнай больше</strong></em> по ссылке https://saratov.hh.ru/article/30292?hash=bddc5d8d61364b156773bba273eb863c&amp;hhtmFrom=article_30292</p> <p><strong>На данный момент мы расширяем команду и в поиске инженера по тестированию.</strong></p> <p><strong>Обязанности:</strong></p> <ul> <li>Подготовка тестовой документации (тест-планы, тест-кейсы, комплекты тестов, методики испытаний для ПМИ и т.п.)</li> <li>Проведение тестирования: приёмочного, функционального, регрессионного, интеграционного, нагрузочного и т.д.</li> <li>Подготовка отчётности и заключений по итогу тестирования, формирование баг-репортов</li> <li>Участие в приёмо-сдаточных мероприятиях, чаще всего в роли демонстрирующего функционал</li> <li>Помощь сотрудникам технической поддержки по проблемам от пользователей</li> <li>Участие в командных мероприятиях (стендап дейли митинг, ретроспектива, демо, груминги, совещания с командой инженеров по автоматизации тестирования и т.п.)</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Опыт тестирования от 2 лет (желательно backend приложений)</li> <li>Опыт проведения функционального, интеграционного, нагрузочного тестирования</li> <li>Опыт работы <strong>на Linux</strong></li> <li>Опыт ведения тестовой документации (тест-план, тест-кейсы, тестовые наборы, чек-листы, оформление bug-report’ов, )</li> <li>Опыт работы с Postman (работа с коллекциями, окружениями, переменными, писать тесты)</li> <li>Опыт работы с БД (умение работать с вложенными запросами, WITH, AS, JOIN, работа с преобразованием времени в запросах (interval, to_chair)</li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li>Опыт работы с баг-трекинговыми системами (Jira, YT, Redmine и т.п.)</li> <li>Опыт работы с системами контроля версий</li> <li>Опыт работы с Swagger или OpenAPI, или их эквивалентом</li> <li>Опыт написание bash скриптов</li> <li>Опыт работы с брокером сообщений (kafka)</li> <li>Опыт участия в приёмосдаточных мероприятиях</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Официальное трудоустройство с первого дня работы (оклад + квартальная премия + годовая премия)</li> <li>Гибридный график работы</li> <li>Соц. пакет (ДМС со стоматологией, фитнес, &quot;Тройка&quot; на год)</li> <li>Внешнее обучение за счет компании</li> <li>Профессиональный и карьерный рост</li> <li>Проекты муниципального и федерального масштаба в сфере инфраструктуры городского пассажирского транспорта</li> <li>Участие в профессиональных IT мероприятиях федерального уровня</li> <li> <p>Корпоративный волейбол</p> </li> </ul>","['Тестирование', 'Тестирование пользовательского интерфейса', 'Функциональное тестирование', 'Регрессионное тестирование', 'Модульное тестирование', 'Нагрузочное тестирование', 'Тестовая документация', 'Bug Reporting', 'Bug Tracking Systems', 'Linux', 'Протоколы', 'SQL']",https://hh.ru/vacancy/127581842
